昵称,QQ 号,描述
"  天虹",35065675,"洗白日本侵略行为"
"leon",245848707,"反对一切国产产品，称国产产品必然是高价且有缺陷的"
"叶太太",995684246,"日杂、美分，称排放核废水合法，称西方注重环保与食品安全，认为中国无视食品安全，称日本人寿命最长，且认为日本人可以持续工作到 90 岁是福，称日本一年一个诺贝尔奖且科学技术最发达，认为英语是比中国更加成熟的语言利"
"🐟",1022197086,"鼓吹西方民主自由，言称西方食品比中国安全，称西方法治民主，且职业多变，同时对中国阴阳怪气"
"lzr5c1y8",1147676924,"疑似缅北诈骗园区广告"
"读书人",1320245334,"无证据认为国内年终奖比国外低，认为不管是白领、蓝领还是高端都是国外更好，认为日本工作随便找，认为日本虽然工资不高但除了工资其他完美，认为普通打工人九成选日本，认为国内也跟日本一样九十岁需要工作，称日本外包软件一年三十万，刷碗一个月一万，称日本加班少中国加班世界第一，称中国猝死率与自杀率高，称中国加班世界第一，称OPPO外包不允许八点之前下班否则开除，称OPPO每个小时做什么事情都需要写时报，称加班与年终奖成正比，称不加班年终奖一分没有，称三十岁的自己为了照顾快六十岁的父母不敢加班和找离家远的工作，称身边很多人劳务派遣去日本不想回来由于加班少，称三十万美金是比较好的中产，称全世界底层都是卖血的"
"我不是赞逼柔",1656568699,"发表诸如“上天啊下雷劈死中国人吧”“中国人有病吧”“上天啊一定要给中国人报应”“中国人你们一定会遭报应的”“天呐我们果价是不是要毁灭了”“不是很想思考只感觉中国人很贱”等言论"
"柳悦潼",2445390031,"声称城市发展必然需要以灰色产业起步，否定法制建设成果"
"快乐家族-知娜",2896407204,"发表诸如“中国人你妈死了”“中国人我恨你”等言论"
"滨江路首席炒师",3080215437,"称以色列为“伟大的祖国”"
"@？",3316512739,"反对毛泽东，反对共产主义，反对抗美援朝"
