昵称,QQ 号,描述
"妳们爱女媎能不能来扩我",536139028,"在“反对二次元圈子的拒男风气”的说说下辱骂男性"
"囹圄",676406694,"在“反对二次元圈子的拒男风气”的说说下辱骂男性"
"王遗风情万种",970869483,"在“反对二次元圈子的拒男风气”的说说下辱骂男性"
"我永遠喜歡維多利加",1002383834,"在“反对二次元圈子的拒男风气”的说说下辱骂男性"
"《重生成青椒》",1096528309,"在“反对二次元圈子的拒男风气”的说说下辱骂男性"
"法厄斯",1137937690,"在“反对二次元圈子的拒男风气”的说说下辱骂男性"
"别山水",1148649546,"在“反对二次元圈子的拒男风气”的说说下辱骂男性"
"纯度双弹加飞轮",1263235734,"在“反对二次元圈子的拒男风气”的说说下辱骂男性"
"落合。☀️",1277563485,"在“反对二次元圈子的拒男风气”的说说下辱骂男性"
"醒骨眞人HQ",1354428661,"在“反对二次元圈子的拒男风气”的说说下辱骂男性"
"ℝ𝕖𝕕𝕒𝕞𝕒𝕟𝕔𝕪",1374861038,"在“反对二次元圈子的拒男风气”的说说下辱骂男性"
"成步堂煎饼事务所",1502251875,"在“反对二次元圈子的拒男风气”的说说下辱骂男性"
"道路，坚硬的河流",1517302636,"在“反对二次元圈子的拒男风气”的说说下辱骂男性"
"帅气OK绷",1551295962,"在“反对二次元圈子的拒男风气”的说说下辱骂男性"
"97岁带癌学习",1799887686,"在“反对二次元圈子的拒男风气”的说说下辱骂男性"
"極闇燈",1802867371,"在“反对二次元圈子的拒男风气”的说说下辱骂男性"
"福狸纪然🦊和小福蝶🐋",1918875669,"在“反对二次元圈子的拒男风气”的说说下辱骂男性"
"青木苔",2035132453,"在“反对二次元圈子的拒男风气”的说说下辱骂男性"
"🪡",2041835677,"在“反对二次元圈子的拒男风气”的说说下辱骂男性"
"煎蛋一点好吗",2046857851,"在“反对二次元圈子的拒男风气”的说说下辱骂男性"
"发点全职疯的窦笙",2062544152,"在“反对二次元圈子的拒男风气”的说说下辱骂男性"
"昭",2109555072,"在“反对二次元圈子的拒男风气”的说说下辱骂男性"
"恋爱天才",2213726835,"在“反对二次元圈子的拒男风气”的说说下辱骂男性"
"谢尘缘",2218985120,"在“反对二次元圈子的拒男风气”的说说下辱骂男性"
"ghost",2250148827,"在“反对二次元圈子的拒男风气”的说说下辱骂男性"
"凝胶幽灵",2335170553,"在 QQ 空间评论区以他人的“真她妈没品”提起打拳，要求他人不使用“她妈”骂人而改用“真她爹没品”，且以此作为出发点开始抨击他人在性别平等的大背景下“使用女人骂人”的行为，并输出电影《我不是高山》中“”男人是把好事往自己身上揽，坏事往女人身上推”的观点，将辩论的对方统称为“像男的”。"
"°_言幼清",2414239615,"在“反对二次元圈子的拒男风气”的说说下辱骂男性"
"耶稣",2630360639,"在“反对二次元圈子的拒男风气”的说说下辱骂男性"
"成双祷文",2680391813,"在“反对二次元圈子的拒男风气”的说说下辱骂男性"
"饮食女",2700879163,"在“反对二次元圈子的拒男风气”的说说下辱骂男性"
"完美赝品",2758357391,"在“反对二次元圈子的拒男风气”的说说下辱骂男性"
"爱亲不亲",2763405720,"在“反对二次元圈子的拒男风气”的说说下辱骂男性"
"神经自设厨😿",2809612739,"在“反对二次元圈子的拒男风气”的说说下辱骂男性"
"微笑家庭煮夫:D",2846293503,"在“反对二次元圈子的拒男风气”的说说下辱骂男性"
"唯一信仰girl门超级大粉丝",2849408197,"在 QQ 空间使用极端用词煽动男女对立，进行极端化的性别话语权占领行动。"
"往来翕忽",2957380486,"认为所有的战争均为男性发起"
"ユリウス厨",2957848976,"发表“一生要强但脑残的老钟男能不能好好死在本土算了”等言论"
"柳州脏话输出bot",3155607723,"在“反对二次元圈子的拒男风气”的说说下辱骂男性"
"泡面",3241891769,"在“反对二次元圈子的拒男风气”的说说下辱骂男性"
"圣女求放过",3540029959,"在“反对二次元圈子的拒男风气”的说说下辱骂男性"
"🇱🇹精神主治医生托里斯",3565993823,"在“反对二次元圈子的拒男风气”的说说下辱骂男性"
"时间之神🧿时希♛公主",3934190804,"2011 年生人，初中生，极度自恋，称“厌恶男性、恐惧男性是正常的心理”，持受害者有罪论，称 Y 染色体是劣质基因，并将肖战与男性分开讨论，自称肖战、王一博、范丞丞、朱正廷、易烊千玺、邓伦粉丝。"
