昵称,QQ 号,描述
"三轩道长",113068573,"封建迷信，鼓吹算命"
"天清地浊心静居士",173060218,"封建迷信，鼓吹算命"
"想.",359464220,"恶意网暴他人，制作他人的脸部改图"
"念佛成佛",576889862,"封建迷信"
"白云",577088653,"封建迷信，宣扬因果报应"
"修仙",593137873,"封建迷信，宣扬修仙"
"三板斧头",730805875,"鼓吹戒邪淫"
"超级小狸",756922773,"声称自己是出生于 1992 年的教师但无法自证，但言语之中不断侮辱他人，且在他人反骂时声称他人心眼太小"
"小妮子",783386854,"封建迷信，鼓吹算命"
"Nirvana",798063835,"认为汉语音译词会产生歧义，从而试图以注音符号表记音译词。"
"觉心",908369646,"封建迷信，鼓吹修行"
"丶",914952984,"宣扬网络游戏开挂，并对反对者爆粗口"
"厚德载物",952165774,"封建迷信，鼓吹戒色"
"醉里挑灯",1026876170,"反对网页随意跳转 App 是互联网的倒退，且认为提出者非常暴躁"
"谨研",1053113577,"封建迷信，鼓吹算命"
"大道慈悲",1149308569,"封建迷信，鼓吹算命"
"养生大师",1246801209,"封建迷信，鼓吹戒邪淫"
"慈",1291342153,"封建迷信，鼓吹算命"
"《无量寿经》",1299902702,"封建迷信，鼓吹戒色"
"龙蛇特",1304693303,"封建迷信，妄称可见的鬼魂与所谓磁场"
"崇山峻岭",1336843936,"封建迷信，鼓吹算命"
"9",1356267389,"提出不符合现实的大而空的反对人类情绪的问题"
"长庚",1404274620,"封建迷信，将地摊科普文当真理，认为地球或者微观粒子可能有生命，迷信与高维空间、高维宇宙相关的地摊科普文"
"粗茶",1409425035,"有强烈的被迫害妄想症，快递尾号出现特定数字、他人签名出现特定词语均被视为侵犯。"
"☯︎卍✟☯︎卐",1569994227,"封建迷信，宣扬宗教思想"
"无量天尊",1919605868,"封建迷信，鼓吹算命"
"心想事成，身体健康",1962862130,"封建迷信，宣扬算命"
"观事",2071981731,"宣扬迷信观点"
"随缘",2092219244,"对于汉语拼音有着基于自身地方口音导致的固执的反对意见且拒绝其他人的指正。"
"星如雨.",2093480634,"封建迷信，鼓吹算命"
"小妮子",2106026993,"封建迷信，鼓吹算命"
"天高地厚",2134789844,"鼓吹戒色"
"山本田野さんです",2162224864,"赛博乞丐，讨钱讨和平精英小号"
"邵阳宝庆",2168581745,"认为国家不需要大学生，而是需要大学生的钱，并主张学习不需要学校"
"浪费绷带装置",2175621634,"以开玩笑为由恶意中伤对方的去世的家人并诅咒对方“怎么还没死阿”，且以对方为男性为由认为自己没有问题"
"谁的叹息飘在风间",2388677916,"鼓吹反堕胎"
"程序员6789",2464396792,"声称自己在中国因为未当兵、不是党员、不是官员而已被抛弃而声称自己不是中国人，且由于害怕飞机中了所谓“火焰病毒”机毁人亡而不敢去美国从而想移民俄罗斯"
"马山",2485797865,"民科，支持地平论，认为哈雷彗星坠入太平洋会有灾难，认为太阳系是人造的，认为反法西斯战争不是正义的"
"🌹么么哒🌹",2546848140,"幻想、意淫并造谣刘亦菲"
"💭",2586702950,"爷新，声称请求破解软件并悬赏，但全程未提及个人悬赏预算，且认为大家无视新人，在有人提供价格时对价格冷嘲热讽，在后续对话中不断为自己的错误找理由，且屏蔽反对者"
"贵正文",2603017645,"封建迷信，鼓吹算命"
"烧焦咕噜鱼-",2740762251,"不对他人的扩列请求作出回应，并自认为对方认识到“没通过就是拒绝”，将对方要求回应的行为挂 QQ 空间进行不具名批判，且压制任何反驳言论。"
"小妮子",2763339348,"封建迷信，鼓吹算命"
"万法",2779777042,"封建迷信"
"明月清风",2831853398,"网暴他人，发送他人丑化照片与身份证"
"夜行期间",2906398499,"传播封建迷信思想"
"玄明（仙明）",2940003881,"封建迷信，鼓吹算命"
"化身",2966308193,"封建迷信，宣扬鬼神"
"陈朝阳",2983668030,"对语言学、语音学、中医等有着大量与主流科学观点格格不入的见解且拒绝其他人的指正。"
"爱人",3022139310,"自创民科理论，将自己的物理理论使用难以辨识的文字书写后不定期发图片"
"1500/0.7",3052679841,"发言低贱、极端"
"Once a day. I'm a loser.",3089688246,"不断使用非自研题目刷屏装逼以挑衅群友的智力。"
"善缘",3111566571,"迷信中医"
"九霄",3119274762,"封建迷信，道教入脑，视经文为规律，玄学至上，但疑似学历不足"
"平静意识",3185733656,"失语症"
"阖家幸福",3207978651,"封建迷信，鼓吹戒律清规"
"爱兄弟还是爱黄金",3269664911,"封建迷信"
"兜",3344153922,"提出自己的不符合事实的汉语音韵学理论与表音符号系统，且逻辑混乱地拒绝任何人的意见。"
"lg",3398269080,"拼接新黄色新闻进行造谣"
"易烊千玺女友",3404240362,"作为一个高职（新疆铁门关职业技术学院）学生，在群聊中不断攻击应试教育，称只有快乐教育才能教出诺贝尔奖获得者，并不断讽刺用功学习的学生。曾称要故意违反 MIT 开源协议。曾晒出带有过度修改痕迹的自称自拍照。"
"玖墨",3475711411,"发表职业贵贱论相关观点"
"唐朝杨贵妃",3543197486,"发布令人作呕的排泄物图片"
"青瓜",3590223120,"封建迷信，鼓吹算命"
"拯救全球人信息",3604947661,"封建迷信，传教"
"博哥",3842457160,"刷屏关于吸烟的方法"
"道不尽",3980161028,"封建迷信，鼓吹算命"
